uid,name,icon,tooltip,lst_objectives,lst_passives,weight_shore,weight_sea,weight_town,weight_forest,weight_ruins,weight_boss,min_depth,max_depth
mole_1,Minor Mole Infestation,icons/burrow,"Hole-y Mole-y! That IS A LOT OF MOLES.

Match AGI to meet the goal while ensuring that the Moles that spawn do not reach the bottom.
Moles can be destroyed either by using certain skills or by matching them.","mole_1_main_agi, mole_1_main_cha, mole_main_loss, mole_bonus_luk",Mole Infestation! (2),0,0,0,1000,0,0,1,2
mole_2,Mole Infestation,icons/burrow,"Hole-y Mole-y! That IS A LOT OF MOLES.

Match AGI to meet the goal while ensuring that the Moles that spawn do not reach the bottom.
Moles can be destroyed either by using certain skills or by matching them.","mole_2_main_agi, mole_2_main_cha, mole_main_loss, mole_bonus_luk",Mole Infestation! (3),0,0,0,1000,0,0,3,4
mole_3,Major Mole Infestation!,icons/burrow,"Hole-y Mole-y! That IS A LOT OF MOLES.

Match AGI to meet the goal while ensuring that the Moles that spawn do not reach the bottom.
Moles can be destroyed either by using certain skills or by matching them.","mole_3_main_agi, mole_3_main_cha, mole_main_loss, mole_bonus_luk",Mole Infestation! (4),0,0,0,1000,0,0,5,99
phantom_str,Phantom Berserker,icons/phantom,"The restless spirit of a dead warrior haunts you.

Match STR and AGI tokens every turn to stay alive.
Win by matching an exact amount of STR and AGI tokens on the same turn.","phantom_main_agi_str_win, phantom_main_str_loss, phantom_main_agi_loss, phantom_main_turn_loss",Phantom Berserker,0,0,200,0,200,0,1,99
phantom_agi,Phantom Swindler,icons/phantom,"The restless spirit of a dead warrior haunts you.

Match AGI and INT tokens every turn to stay alive.
Win by matching an exact amount of AGI and INT tokens on the same turn.","phantom_main_agi_int_win, phantom_main_agi_loss, phantom_main_int_loss, phantom_main_turn_loss",Phantom Swindler,0,0,200,0,200,0,1,99
phantom_int,Phantom Navigator,icons/phantom,"The restless spirit of a dead warrior haunts you.

Match INT and CHA tokens every turn to stay alive.
Win by matching an exact amount of INT and CHA tokens on the same turn.","phantom_main_int_cha_win, phantom_main_cha_loss, phantom_main_int_loss, phantom_main_turn_loss",Phantom Navigator,0,0,200,0,200,0,1,99
phantom_luk,Phantom Jester,icons/phantom,"The restless spirit of a dead warrior haunts you.

Match AGI and LUK tokens every turn to stay alive.
Win by matching an exact amount of AGI and LUK tokens on the same turn.","phantom_main_agi_luk_win, phantom_main_agi_loss, phantom_main_luk_loss, phantom_main_turn_loss",Phantom Jester,0,0,200,0,200,0,1,99
phantom_cha,Phantom Noble,icons/phantom,"The restless spirit of a dead warrior haunts you.

Match CHA and LUK tokens every turn to stay alive.
Win by matching an exact amount of CHA and LUK tokens on the same turn.","phantom_main_cha_luk_win, phantom_main_cha_loss, phantom_main_luk_loss, phantom_main_turn_loss",Phantom Noble,0,0,200,0,200,0,1,99
monkey_1,Monkey Forest,icons/forest_1,"A forest full of monkeys…… great

Monkeys that spawn mimic your highest resource, but to win you will need to gather two different resource types.
Keep an eye on both resource types of the goal!","monkey_luk_win, monkey_1_stragi_win, monkey_1_intcha_win, monkey_1_loss",Monkey Jungle,0,0,0,1000,0,0,1,2
monkey_2,Monkey Jungle,icons/forest_1,"A forest full of monkeys…… great

Monkeys that spawn mimic your highest resource, but to win you will need to gather two different resource types.
Keep an eye on both resource types of the goal!","monkey_luk_win, monkey_2_stragi_win, monkey_2_intcha_win, monkey_2_loss",Monkey Jungle,0,0,0,1000,0,0,3,4
